index,input,runtime_seconds,over_budget,over_budget_seconds,search_status,unique_candidates,search_providers_seconds,direct_probes_seconds,browser_seconds,document_queries_seconds,other_providers_seconds,page_load_seconds_sum,page_load_count,unattributed_seconds,slowest_provider,slowest_status,slowest_seconds,slowest_timeout,slowest_page_seconds,slowest_page_status,crossing_provider,crossing_status,crossing_query,crossing_start_seconds,crossing_duration_seconds,crossing_configured_timeout,crossing_overshoot_of_own_timeout,crossing_failure_reason,tail_after_crossing_call_seconds
30,Canon CanoScan LiDE 400,82.712,True,7.712,partial,42,25.429,38.896,12.1,0.0,0.0,0.0,4,6.287,direct_domain_probe,timeout,38.895827,36.0,0.0,budget_exhausted,naver,timeout,"""CanoScan LiDE 400"" Canon official",72.914,4.498292,2.086116900027264,2.412,,5.3
31,WD My Passport 5TB,137.576,True,62.576,partial,110,43.187,7.348,0.0,0.0,0.0,0,0,87.041,google,timeout,8.086408,8.0,,,no_recorded_provider_call,,,,,,,,
32,Crucial T705,110.443,True,35.443,partial,90,46.652,21.769,3.526,0.0,0.0,0.0,4,38.497,direct_domain_probe,success,21.768928,36.0,0.0,budget_exhausted,seznam,timeout,"""T705"" site:crucial.com -site:eu.crucial.com -site:uk.crucial.com",74.584,1.366069,0.41609499999321997,0.95,,34.493
33,Corsair RM850x,53.757,False,0.0,success,2,4.775,22.883,0.0,3.299,0.0,6.07,2,16.73,direct_domain_probe,success,22.882699,36.0,4.653,loaded,,,,,,,,,
34,ASUS TUF Gaming GeForce RTX 5070 Ti,77.877,True,2.877,partial,61,12.177,40.403,21.039,0.0,0.0,0.0,4,4.258,direct_domain_probe,timeout,40.403375,36.0,0.0,budget_exhausted,bing,timeout,ASUS TUF Gaming GeForce RTX 5070 Ti,73.766,1.778164,1.234083500050474,0.544,,2.333
35,MSI MAG X870 TOMAHAWK WIFI,146.763,True,71.763,partial,96,45.282,24.001,4.323,0.0,0.0,0.0,4,73.157,direct_domain_probe,empty,24.001349,36.0,0.0,budget_exhausted,duckduckgo_html,blocked,MSI official MAG X870 TOMAHAWK WIFI,74.549,1.71884,0.45099670003401116,1.268,,70.495
36,DEWALT DCD805P2T,86.08,True,11.08,partial,34,17.598,36.133,20.557,0.0,0.0,0.713,1,11.08,direct_domain_probe,timeout,36.132827,36.0,0.713,loaded,seznam,timeout,"""DCD805P2T"" site:dewalt.co.uk",72.652,3.679889,2.3483574999845587,1.332,,9.748
37,Makita GA023GZ,78.495,True,3.495,timeout,0,12.686,34.751,30.663,0.0,0.0,0,0,0.394,direct_domain_probe,empty,34.751281,36.0,,,seznam,timeout,Makita GA023GZ,68.109,9.999239,6.8906148000387475,3.109,,0.386
38,Milwaukee M18 FHX-502X,214.61,True,139.61,timeout,0,0.0,214.276,0.0,0.0,0.0,0,0,0.334,direct_domain_probe,timeout,214.276077,36.0,,,direct_domain_probe,timeout,Milwaukee M18 FHX-502X,0.001,214.276077,36.0,178.276,domain_resolution: SSLError; domain_resolution: HTTP 404 at https://nl.milwaukeetool.eu/CMSMessages/PageNotFound.aspx?aspxerrorpath=%2Fwww.%3B domain_resolution: ConnectTimeout; domain_resolution: ReadTimeout; domain_resolution: redirect left brand-consistent domain (fruits.co),0.333
39,Bosch Professional GCM 8 SJL,115.442,True,40.442,timeout,0,0.0,47.751,67.588,0.0,0.0,0,0,0.103,browser_official_discovery,timeout,67.588093,20.0,,,browser_official_discovery,timeout,Bosch Professional GCM 8 SJL,47.851,67.588093,20.0,47.588,rendered_homepage: TimeoutError at https://www.bosch.com/,0.003
40,Einhell TC-PL 750,82.347,True,7.347,timeout,0,0.0,82.32,0.0,0.0,0.0,0,0,0.027,direct_domain_probe,timeout,82.320049,36.0,,,direct_domain_probe,timeout,Einhell TC-PL 750,0.001,82.320049,36.0,46.32,domain_resolution: SSLError; official discovery deadline exhausted,0.026
41,STIHL MS 182,314.594,True,239.594,partial,21,264.578,24.744,24.969,0.0,0.0,0,0,0.304,google,error,248.402912,8.0,,,google,error,STIHL MS 182,66.13,248.402912,8.0,240.403,,0.061
42,Husqvarna 525LK,39.398,False,0.0,partial,11,11.669,13.559,13.549,0.0,0.0,0,0,0.621,browser_official_discovery,empty,13.549072,20.0,,,,,,,,,,,
43,Frostbite Drench 39ML,36.826,False,0.0,partial,25,23.743,11.534,1.18,0.0,0.0,0,0,0.37,direct_domain_probe,empty,10.170445,36.0,,,,,,,,,,,
44,Nautilus X Series XL MAX,55.44,False,0.0,partial,39,27.188,22.674,5.236,0.0,0.0,0,0,0.342,direct_domain_probe,empty,14.014568,36.0,,,,,,,,,,,
45,Namazu Bionic 90 N41-90-52,48.626,False,0.0,partial,29,27.441,20.572,0.278,0.0,0.0,0,0,0.334,direct_domain_probe,empty,20.572244,36.0,,,,,,,,,,,
46,adidas Ultraboost 5 JH9073,66.848,False,0.0,partial,49,28.243,18.233,6.101,0.0,0.0,14.858,3,0.0,direct_domain_probe,empty,12.204982,36.0,12.642,unavailable,,,,,,,,,
47,Nike AeroSwift FN4231-010,68.699,False,0.0,partial,10,13.09,30.768,20.017,2.669,0.0,1.157,1,0.998,direct_domain_probe,empty,30.768337,36.0,1.157,loaded,,,,,,,,,
48,The North Face Nuptse,37.842,False,0.0,partial,67,22.519,11.392,3.649,0.0,0.0,0,0,0.282,direct_domain_probe,empty,10.315693,36.0,,,,,,,,,,,
49,Oral-B iO Series 10,64.05,False,0.0,partial,77,19.516,20.94,19.156,0.896,0.0,4.125,4,0.0,direct_domain_probe,success,20.939528,36.0,1.096,loaded,,,,,,,,,
50,CeraVe Hydrating Facial Cleanser,27.804,False,0.0,success,4,11.117,10.056,0.0,3.866,0.0,2.018,4,0.747,direct_domain_probe,success,10.056092,36.0,0.582,loaded,,,,,,,,,
