index,input,identity_level,status,parsed_brand,parsed_model,queries,provider_attempts,provider_outcomes,service_seconds,harness_seconds,over_75_seconds,search_status,candidate_counts,accepted_official_pages,exact_main_product_pages,content_verified_exact_pages,support_pages,documents,exact_support_pages,exact_documents,fetch_statuses,fetch_http_403,fetch_timeout,js_shells,loaded_source_identity_or_scope_unproved,no_accepted_candidate,no_first_party_candidate,no_page_candidate_checked,load_limited,error
11,Kärcher K5 Power Control,model,PARTIAL,Kärcher,K5 Power Control,8,60,"{""empty"": 10, ""blocked"": 11, ""success"": 6, ""circuit_open"": 22, ""low_value"": 10, ""timeout"": 1}",105.53,105.549,True,partial,"{""provider_raw"": 328, ""collected"": 93, ""normalized"": 93, ""unique"": 50, ""duplicates"": 43, ""accepted"": 3, ""rejected"": 47, ""official"": 0, ""dealer"": 0, ""secondary"": 3, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
12,Roborock S8 MaxV Ultra,model,PARTIAL,Roborock,S8 MaxV Ultra,10,32,"{""success"": 10, ""capped"": 5, ""empty"": 2, ""blocked"": 6, ""circuit_open"": 6, ""low_value"": 2, ""timeout"": 1}",86.899,86.914,True,partial,"{""provider_raw"": 207, ""collected"": 164, ""normalized"": 164, ""unique"": 73, ""duplicates"": 91, ""accepted"": 21, ""rejected"": 52, ""official"": 0, ""dealer"": 0, ""secondary"": 21, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 2, ""budget_exhausted"": 3}",0,0,0,2,False,True,False,True,
13,Tefal Ultimate Pure FV9845,sku,PARTIAL,Tefal,Ultimate Pure FV9845,9,65,"{""success"": 6, ""capped"": 8, ""empty"": 2, ""blocked"": 12, ""low_value"": 10, ""timeout"": 3, ""circuit_open"": 24}",77.252,77.262,True,partial,"{""provider_raw"": 242, ""collected"": 84, ""normalized"": 84, ""unique"": 48, ""duplicates"": 36, ""accepted"": 7, ""rejected"": 41, ""official"": 0, ""dealer"": 0, ""secondary"": 7, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
14,Braun MultiQuick 9 MQ9187XLI,sku,FAIL,Braun,MultiQuick 9 MQ9187XLI,2,12,"{""timeout"": 3, ""empty"": 2, ""blocked"": 4, ""success"": 1, ""low_value"": 1, ""circuit_open"": 1}",86.578,86.579,True,partial,"{""provider_raw"": 73, ""collected"": 20, ""normalized"": 20, ""unique"": 20, ""duplicates"": 0, ""accepted"": 11, ""rejected"": 9, ""official"": 0, ""dealer"": 0, ""secondary"": 11, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
15,Kenwood Titanium Chef Patissier XL KWL90,model,PARTIAL,Kenwood,Titanium Chef Patissier XL KWL90,6,32,"{""success"": 9, ""empty"": 3, ""blocked"": 9, ""low_value"": 1, ""timeout"": 3, ""circuit_open"": 6, ""capped"": 1}",96.451,96.463,True,partial,"{""provider_raw"": 283, ""collected"": 177, ""normalized"": 177, ""unique"": 62, ""duplicates"": 103, ""accepted"": 32, ""rejected"": 42, ""official"": 0, ""dealer"": 0, ""secondary"": 32, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 1, ""budget_exhausted"": 1}",0,0,0,1,False,True,False,True,
16,ASUS RT-BE88U,sku,PARTIAL,ASUS,RT-BE88U,4,19,"{""timeout"": 3, ""empty"": 2, ""blocked"": 5, ""success"": 3, ""circuit_open"": 5, ""low_value"": 1}",76.641,76.651,True,partial,"{""provider_raw"": 179, ""collected"": 60, ""normalized"": 60, ""unique"": 37, ""duplicates"": 23, ""accepted"": 24, ""rejected"": 13, ""official"": 0, ""dealer"": 0, ""secondary"": 24, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 1}",0,0,0,1,False,True,False,False,
17,TP-Link Deco BE85,model,PARTIAL,TP-Link,Deco BE85,10,31,"{""success"": 11, ""capped"": 5, ""empty"": 2, ""blocked"": 5, ""circuit_open"": 6, ""low_value"": 1, ""timeout"": 1}",76.361,76.38,True,partial,"{""provider_raw"": 352, ""collected"": 320, ""normalized"": 320, ""unique"": 139, ""duplicates"": 154, ""accepted"": 15, ""rejected"": 151, ""official"": 0, ""dealer"": 0, ""secondary"": 15, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 2, ""budget_exhausted"": 4}",0,0,0,2,False,True,False,True,
18,Ubiquiti UniFi U7 Pro,model,PARTIAL,Ubiquiti,UniFi U7 Pro,8,41,"{""empty"": 3, ""blocked"": 7, ""success"": 8, ""capped"": 8, ""circuit_open"": 11, ""low_value"": 3, ""timeout"": 1}",77.964,78.01,True,partial,"{""provider_raw"": 554, ""collected"": 504, ""normalized"": 504, ""unique"": 155, ""duplicates"": 332, ""accepted"": 30, ""rejected"": 142, ""official"": 0, ""dealer"": 0, ""secondary"": 30, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
19,NETGEAR GS308EP,sku,PARTIAL,NETGEAR,GS308EP,10,11,"{""success"": 11}",42.04,42.052,False,success,"{""provider_raw"": 378, ""collected"": 573, ""normalized"": 573, ""unique"": 45, ""duplicates"": 528, ""accepted"": 11, ""rejected"": 34, ""official"": 0, ""dealer"": 0, ""secondary"": 11, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 4}",0,0,0,4,False,True,False,False,
20,Synology DS923+,sku,PARTIAL,Synology,DS923+,11,43,"{""empty"": 3, ""success"": 11, ""capped"": 10, ""circuit_open"": 11, ""blocked"": 4, ""low_value"": 1, ""timeout"": 3}",80.684,80.697,True,partial,"{""provider_raw"": 369, ""collected"": 362, ""normalized"": 362, ""unique"": 167, ""duplicates"": 177, ""accepted"": 29, ""rejected"": 156, ""official"": 0, ""dealer"": 0, ""secondary"": 29, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
21,APC Back-UPS BX1600MI,sku,PARTIAL,APC,Back-UPS BX1600MI,6,25,"{""empty"": 2, ""blocked"": 4, ""success"": 4, ""capped"": 8, ""circuit_open"": 3, ""low_value"": 2, ""timeout"": 2}",87.612,87.622,True,partial,"{""provider_raw"": 205, ""collected"": 205, ""normalized"": 205, ""unique"": 26, ""duplicates"": 179, ""accepted"": 18, ""rejected"": 8, ""official"": 0, ""dealer"": 0, ""secondary"": 18, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
22,Logitech MX Keys S,model,PASS,Logitech,MX Keys S,3,5,"{""success"": 3, ""blocked"": 1, ""circuit_open"": 1}",25.95,25.957,False,success,"{""provider_raw"": 22, ""collected"": 3, ""normalized"": 3, ""unique"": 3, ""duplicates"": 0, ""accepted"": 3, ""rejected"": 0, ""official"": 1, ""dealer"": 0, ""secondary"": 2, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 3}",0,0,0,2,False,False,False,False,
23,Razer DeathAdder V3,model,PASS,Razer,DeathAdder V3,3,5,"{""success"": 3, ""blocked"": 1, ""circuit_open"": 1}",28.265,28.318,False,success,"{""provider_raw"": 12, ""collected"": 2, ""normalized"": 2, ""unique"": 2, ""duplicates"": 0, ""accepted"": 2, ""rejected"": 0, ""official"": 1, ""dealer"": 0, ""secondary"": 1, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 2}",0,0,0,1,False,False,False,False,
24,SteelSeries Arctis Nova Pro Wireless,model,PARTIAL,SteelSeries,Arctis Nova Pro Wireless,9,35,"{""empty"": 11, ""success"": 10, ""circuit_open"": 9, ""blocked"": 3, ""low_value"": 1, ""timeout"": 1}",70.081,70.102,False,partial,"{""provider_raw"": 330, ""collected"": 325, ""normalized"": 325, ""unique"": 129, ""duplicates"": 189, ""accepted"": 40, ""rejected"": 96, ""official"": 0, ""dealer"": 0, ""secondary"": 40, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 4}",1,0,0,4,False,True,False,False,
25,Samsung Odyssey OLED G8 G80SD,model,PARTIAL,Samsung,Odyssey OLED G8 G80SD,3,10,"{""timeout"": 3, ""empty"": 2, ""success"": 2, ""circuit_open"": 3}",79.367,79.427,True,partial,"{""provider_raw"": 12, ""collected"": 12, ""normalized"": 12, ""unique"": 12, ""duplicates"": 0, ""accepted"": 12, ""rejected"": 0, ""official"": 0, ""dealer"": 0, ""secondary"": 12, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 2}",0,0,1,2,False,True,False,False,
26,LG OLED evo C4,family,PARTIAL,LG,OLED evo C4,8,35,"{""empty"": 9, ""success"": 11, ""circuit_open"": 7, ""blocked"": 5, ""low_value"": 2, ""timeout"": 1}",108.272,108.309,True,partial,"{""provider_raw"": 318, ""collected"": 296, ""normalized"": 296, ""unique"": 151, ""duplicates"": 138, ""accepted"": 46, ""rejected"": 112, ""official"": 0, ""dealer"": 0, ""secondary"": 46, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 4}",0,0,0,4,False,True,False,False,
27,Apple Mac mini M4,family,PARTIAL,Apple,Mac mini M4,6,23,"{""empty"": 1, ""timeout"": 3, ""success"": 5, ""capped"": 5, ""circuit_open"": 7, ""blocked"": 2}",79.975,79.982,True,partial,"{""provider_raw"": 195, ""collected"": 195, ""normalized"": 195, ""unique"": 45, ""duplicates"": 143, ""accepted"": 24, ""rejected"": 28, ""official"": 0, ""dealer"": 0, ""secondary"": 24, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
28,Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition,model,PARTIAL,Lenovo,ThinkPad X1 Carbon Gen 13 Aura Edition,8,30,"{""success"": 8, ""capped"": 6, ""empty"": 2, ""blocked"": 4, ""circuit_open"": 7, ""low_value"": 1, ""timeout"": 2}",163.389,163.424,True,partial,"{""provider_raw"": 406, ""collected"": 384, ""normalized"": 384, ""unique"": 117, ""duplicates"": 259, ""accepted"": 53, ""rejected"": 72, ""official"": 0, ""dealer"": 0, ""secondary"": 53, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
