index,input,runtime_seconds,over_budget,over_budget_seconds,search_status,unique_candidates,search_providers_seconds,direct_probes_seconds,browser_seconds,document_queries_seconds,other_providers_seconds,page_load_seconds_sum,page_load_count,unattributed_seconds,crossing_provider,crossing_status,crossing_query,crossing_start_seconds,crossing_duration_seconds,crossing_configured_timeout,crossing_overshoot_of_own_timeout,crossing_failure_reason,tail_after_crossing_call_seconds,slowest_provider,slowest_status,slowest_seconds,slowest_timeout,slowest_page_seconds,slowest_page_status
41,STIHL MS 182,20.291,False,0.0,success,3,2.389,12.906,0.0,2.5,0.0,1.411,1,1.085,,,,,,,,,,direct_domain_probe,success,12.906055,36.0,1.411,loaded
42,Husqvarna 525LK,45.49,False,0.0,partial,85,12.671,15.431,13.149,0.0,0.0,0,0,4.238,,,,,,,,,,browser_official_discovery,empty,13.149354,20.0,,
43,Frostbite Drench 39ML,42.695,False,0.0,partial,27,26.449,11.389,2.767,0.0,0.0,0,0,2.09,,,,,,,,,,direct_domain_probe,empty,9.994858,36.0,,
44,Nautilus X Series XL MAX,70.225,False,0.0,partial,80,34.06,21.594,10.168,0.0,0.0,0,0,4.403,,,,,,,,,,direct_domain_probe,empty,16.699951,36.0,,
45,Namazu Bionic 90 N41-90-52,61.551,False,0.0,partial,11,32.207,22.48,3.787,0.0,0.0,0,0,3.077,,,,,,,,,,direct_domain_probe,empty,22.480158,36.0,,
46,adidas Ultraboost 5 JH9073,69.089,False,0.0,partial,133,37.06,12.74,6.424,0.0,0.0,3.361,3,9.504,,,,,,,,,,direct_domain_probe,empty,9.307195,36.0,1.623,unavailable
47,Nike AeroSwift FN4231-010,74.358,False,0.0,partial,25,17.777,32.67,18.788,0.0,0.0,1.301,1,3.822,,,,,,,,,,direct_domain_probe,empty,32.669952,36.0,1.301,loaded
48,The North Face Nuptse,68.28,False,0.0,partial,180,37.433,19.167,6.055,0.0,0.0,0,0,5.626,,,,,,,,,,direct_domain_probe,empty,19.16703,36.0,,
49,Oral-B iO Series 10,53.35,False,0.0,partial,16,2.044,20.757,19.606,4.53,0.0,4.373,4,2.039,,,,,,,,,,direct_domain_probe,success,20.757201,36.0,1.3,loaded
50,CeraVe Hydrating Facial Cleanser,29.909,False,0.0,success,4,12.227,10.019,0.0,3.373,0.0,2.242,4,2.048,,,,,,,,,,direct_domain_probe,success,10.018726,36.0,0.908,loaded
