index,input,parsed_brand,parsed_model,structured_brand,structured_model,category,identity_level,old_status,old_exact_official_found,old_exact_product_pages,old_exact_support_pages,old_exact_documents,old_pdf_documents,old_html_documents,provider_failures,runtime_seconds,possible_failure_causes,historical_manual_verdict,content_archive_available
25,Samsung Odyssey OLED G8 G80SD,Samsung,Odyssey OLED G8 G80SD,Samsung,Odyssey OLED G8 G80SD,TV/display,model,PASS,True,1,0,0,0,0,8,63.974,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
26,LG OLED evo C4,LG,OLED evo C4,LG,OLED evo C4,TV/display,family,PASS,True,2,0,0,0,0,27,56.776,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
27,Apple Mac mini M4,Apple,Mac mini M4,Apple,Mac mini M4,computer/peripherals,family,PARTIAL,False,0,0,0,0,0,6,39.432,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
28,Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition,Lenovo,ThinkPad X1 Carbon Gen 13 Aura Edition,Lenovo,ThinkPad X1 Carbon Gen 13 Aura Edition,computer/peripherals,model,PASS,True,1,0,0,0,0,6,28.157,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
29,Epson EcoTank L6270,Epson,EcoTank L6270,Epson,EcoTank L6270,computer/peripherals,sku,PASS,True,2,0,0,0,0,18,30.619,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
30,Canon CanoScan LiDE 400,Canon,CanoScan LiDE 400,Canon,CanoScan LiDE 400,computer/peripherals,model,PASS,True,1,1,0,0,0,2,25.096,authority_not_reconstructible_from_saved_record;identity_or_filtering;official_page_not_inspected_or_fetch_blocked,not_reconstructible,False
31,WD My Passport 5TB,WD,My Passport 5TB,WD,My Passport 5TB,PC components,family,PARTIAL,False,0,0,0,0,0,35,39.45,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
32,Crucial T705,Crucial,T705,Crucial,T705,PC components,family,PASS,True,3,0,0,3,0,0,6.264,authority_not_reconstructible_from_saved_record,not_reconstructible,False
33,Corsair RM850x,Corsair,RM850x,Corsair,RM850x,PC components,family,PASS,True,4,0,0,4,0,2,20.64,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
34,ASUS TUF Gaming GeForce RTX 5070 Ti,ASUS,TUF Gaming GeForce RTX 5070 Ti,ASUS,TUF Gaming GeForce RTX 5070 Ti,PC components,family,PARTIAL,False,0,0,0,0,0,23,76.394,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
35,MSI MAG X870 TOMAHAWK WIFI,MSI,MAG X870 TOMAHAWK WIFI,MSI,MAG X870 TOMAHAWK WIFI,PC components,model,PASS,True,1,0,0,0,0,8,28.991,authority_not_reconstructible_from_saved_record;official_page_not_inspected_or_fetch_blocked;provider_or_fetch_failure_recorded,not_reconstructible,False
36,DEWALT DCD805P2T,DEWALT,DCD805P2T,DEWALT,DCD805P2T,power tools,sku,PASS,True,1,0,0,0,0,12,35.241,authority_not_reconstructible_from_saved_record;identity_or_filtering;provider_or_fetch_failure_recorded,not_reconstructible,False
37,Makita GA023GZ,Makita,GA023GZ,Makita,GA023GZ,power tools,sku,PASS,True,1,0,0,0,0,11,52.302,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
38,Milwaukee M18 FHX-502X,Milwaukee,M18 FHX-502X,Milwaukee,M18 FHX-502X,power tools,sku,PARTIAL,False,0,0,0,0,0,36,77.283,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
39,Bosch Professional GCM 8 SJL,Bosch,Professional GCM 8 SJL,Bosch,Professional GCM 8 SJL,power tools,model,PARTIAL,False,0,0,0,0,0,30,76.514,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
40,Einhell TC-PL 750,Einhell,TC-PL 750,Einhell,TC-PL 750,power tools,model,PASS,True,1,0,0,0,0,16,49.783,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
41,STIHL MS 182,STIHL,MS 182,STIHL,MS 182,garden/outdoor tools,model,PASS,True,1,0,0,0,0,12,44.344,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
42,Husqvarna 525LK,Husqvarna,525LK,Husqvarna,525LK,garden/outdoor tools,sku,PARTIAL,False,0,0,1,0,1,0,8.461,authority_not_reconstructible_from_saved_record,not_reconstructible,False
43,Frostbite Drench 39ML,Frostbite,Drench 39ML,Frostbite,Drench 39ML,fishing,model,PARTIAL,False,0,0,0,0,0,64,48.643,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
44,Nautilus X Series XL MAX,Nautilus,X Series XL MAX,Nautilus,X Series XL MAX,fishing,model,PARTIAL,False,0,0,0,0,0,9,39.43,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
45,Namazu Bionic 90 N41-90-52,Namazu,Bionic 90 N41-90-52,Namazu,Bionic 90 N41-90-52,fishing,sku,PARTIAL,False,0,0,0,0,0,76,54.635,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
46,adidas Ultraboost 5 JH9073,adidas,Ultraboost 5 JH9073,adidas,Ultraboost 5 JH9073,apparel/footwear,sku,PASS,True,1,0,0,0,0,15,42.861,authority_not_reconstructible_from_saved_record;official_page_not_inspected_or_fetch_blocked;provider_or_fetch_failure_recorded,not_reconstructible,False
47,Nike AeroSwift FN4231-010,Nike,AeroSwift FN4231-010,Nike,AeroSwift FN4231-010,apparel/footwear,sku,PASS,True,1,0,0,0,0,9,74.136,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
48,The North Face Nuptse,The North,Face Nuptse,The North Face,Nuptse,apparel/footwear,family,PARTIAL,False,0,0,0,0,0,50,69.516,authority_not_reconstructible_from_saved_record;input_boundary_or_encoding;official_page_not_inspected_or_fetch_blocked;provider_or_fetch_failure_recorded,not_reconstructible,False
49,Oral-B iO Series 10,Oral-B,iO Series 10,Oral-B,iO Series 10,personal care/skincare,model,PASS,True,3,1,0,0,0,8,42.874,authority_not_reconstructible_from_saved_record;identity_or_filtering;provider_or_fetch_failure_recorded,not_reconstructible,False
50,CeraVe Hydrating Facial Cleanser,CeraVe,Hydrating Facial Cleanser,CeraVe,Hydrating Facial Cleanser,personal care/skincare,family,PASS,True,2,0,0,0,0,6,26.76,identity_or_filtering;provider_or_fetch_failure_recorded,not_reconstructible,False
